cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2015,accepted,StopWorld,1,1,0,0,
2016,accepted,UpdateBrainEngine,4,1,0,4,
2017,accepted,UpdateRankQuantum,4,1,1,120,
2017,dispatched,StopWorld,1,1,0,0,
2018,accepted,UpdateBrainEngine,5,1,0,2,
2019,accepted,UpdateRankGroup,4,1,1,1,
2020,accepted,UpdateBrainEngine,6,1,0,3,
2021,accepted,UpdateBrainFlowState,5,1,641,1,
2022,accepted,UpdateRankGroup,4,1,2,1,
2023,accepted,UpdateBrainEngine,6,2,0,3,
2024,accepted,UpdateBrainFlowState,5,1,642,2,
2025,accepted,UpdateRankQuantum,4,1,2,120,
2026,accepted,UpdateBrainEngine,5,2,0,4,
2027,accepted,UpdateRankGroup,4,1,3,2,
2028,accepted,UpdateBrainEngine,6,3,0,3,
2029,accepted,UpdateRankGroup,5,2,3,3,
2030,accepted,UpdateRankQuantum,5,2,3,120,
2031,accepted,UpdateRankGroup,4,1,4,2,
2032,accepted,UpdateBrainEngine,6,4,0,3,
2033,accepted,UpdateRankGroup,5,2,4,4,
2034,accepted,UpdateRankQuantum,5,2,4,120,
2035,accepted,UpdateRankQuantum,4,1,3,120,
2036,accepted,UpdateBrainEngine,5,3,0,4,
2037,accepted,UpdateRankGroup,4,1,5,3,
2038,accepted,UpdateBrainEngine,6,5,0,3,
2039,accepted,UpdateRankGroup,5,3,5,5,
2040,accepted,UpdateRankQuantum,5,3,5,120,
2041,accepted,UpdateRankGroup,4,1,6,3,
2042,accepted,UpdateBrainEngine,6,6,0,3,
2043,accepted,UpdateRankGroup,5,3,6,6,
2044,accepted,UpdateRankQuantum,5,3,6,60,
2045,accepted,UpdateRankQuantum,4,1,4,120,
2046,accepted,UpdateBrainEngine,5,4,0,2,
2047,accepted,UpdateRankGroup,4,1,7,4,
2048,accepted,UpdateBrainEngine,6,7,0,3,
2049,accepted,UpdateBrainFlowState,5,4,647,1,
2050,accepted,UpdateRankGroup,4,1,8,4,
2051,accepted,UpdateBrainEngine,6,8,0,3,
2051,dispatched,UpdateBrainEngine,4,1,0,4,
2052,accepted,UpdateBrainFlowState,5,4,648,2,
2052,dispatched,UpdateRankQuantum,4,1,1,120,
2053,accepted,UpdateRankQuantum,4,1,5,120,
2053,dispatched,UpdateBrainEngine,5,1,0,2,
2054,accepted,UpdateBrainEngine,5,5,0,2,
